# name: 박재형
# student_id: 20242707
# mouse_id: F2
# video: f2_oft.mp4
# cm_per_px: 0.0681350925094999
frame,timestamp_s,x,y,area
149,9.966,585,377,357329
150,10.033,810,494,841
151,10.100,810,484,1390
152,10.166,814,471,2211
153,10.233,812,456,1749
154,10.300,809,436,1351
155,10.367,790,427,2311
156,10.434,778,403,2682
157,10.501,769,363,2237
158,10.568,747,335,2007
159,10.635,742,327,2953
160,10.701,728,302,2869
161,10.768,713,278,1997
162,10.835,686,249,1686
163,10.902,677,230,1567
164,10.969,682,221,2841
165,11.036,677,202,2767
166,11.103,666,185,2843
167,11.170,652,164,2368
168,11.237,657,142,1905
169,11.303,661,143,2008
170,11.370,668,146,1170
171,11.437,666,132,628
172,11.504,673,130,790
173,11.571,681,134,1005
174,11.638,685,143,1528
175,11.705,684,145,1279
177,11.839,621,158,1160
178,11.905,608,161,2430
179,11.972,592,158,3582
180,12.039,579,151,4171
181,12.106,556,140,4327
182,12.173,530,132,4133
183,12.240,508,129,4452
184,12.307,488,128,4462
185,12.374,469,127,4595
186,12.440,448,129,4425
187,12.507,431,139,4487
188,12.574,419,147,4594
189,12.641,404,153,4705
190,12.708,381,166,4381
191,12.775,369,182,4537
192,12.842,366,189,4196
193,12.909,371,189,3703
194,12.976,377,188,3534
195,13.042,380,191,3165
196,13.109,386,207,2818
197,13.176,393,220,3329
198,13.243,396,240,4077
199,13.310,400,272,4260
200,13.377,407,304,3964
201,13.444,414,328,4054
202,13.511,416,355,4226
203,13.577,417,380,4156
204,13.644,418,410,4110
205,13.711,416,431,3970
206,13.778,407,452,4366
207,13.845,396,474,4278
208,13.912,388,497,4425
209,13.979,380,519,4474
210,14.046,367,541,4954
211,14.113,357,557,4713
212,14.179,362,558,4461
213,14.246,371,557,4163
214,14.313,385,565,4464
215,14.380,399,579,4629
216,14.447,416,598,4755
217,14.514,439,613,4354
218,14.581,469,620,4310
219,14.648,499,630,4533
220,14.715,523,634,4313
221,14.781,552,631,4070
222,14.848,577,622,4236
223,14.915,604,615,4480
224,14.982,629,607,4280
225,15.049,654,593,4129
226,15.116,665,586,4151
227,15.183,672,581,4118
228,15.250,688,575,4152
229,15.316,716,561,4076
230,15.383,734,549,4104
231,15.450,753,541,4299
232,15.517,776,534,4205
233,15.584,801,524,4124
234,15.651,817,514,4186
235,15.718,822,509,4159
236,15.785,817,506,3992
237,15.852,813,496,4166
238,15.918,814,474,4089
239,15.985,820,444,3938
240,16.052,822,421,4040
241,16.119,818,393,3997
242,16.186,817,366,3993
243,16.253,819,340,4038
244,16.320,821,315,3963
245,16.387,822,293,3926
246,16.454,829,271,3928
247,16.520,837,247,3896
248,16.587,839,222,3733
249,16.654,837,201,3842
250,16.721,838,181,3919
251,16.788,838,165,3982
252,16.855,837,164,4007
253,16.922,836,168,3939
254,16.989,837,173,3940
255,17.055,840,168,4182
256,17.122,843,162,4352
257,17.189,843,164,4200
258,17.256,844,168,4092
259,17.323,847,173,3881
260,17.390,848,179,3682
261,17.457,848,186,3423
262,17.524,848,190,2953
263,17.591,847,191,2575
264,17.657,848,192,2204
265,17.724,850,192,2068
266,17.791,849,193,2164
267,17.858,845,201,2586
268,17.925,841,203,2812
269,17.992,836,206,3414
270,18.059,831,209,3485
271,18.126,830,214,3487
272,18.193,836,234,3485
273,18.259,845,263,3976
274,18.326,850,292,4516
275,18.393,854,323,4624
276,18.460,853,361,4125
277,18.527,846,400,4403
278,18.594,843,433,4440
279,18.661,837,465,4004
280,18.728,829,488,3980
281,18.794,827,507,4268
282,18.861,830,530,4125
283,18.928,832,549,4275
284,18.995,836,555,4298
285,19.062,841,562,4417
