# name: 안석현
# student_id: 20252706
# mouse_id: F3
# video: f3_oft.mp4
# cm_per_px: 0.0681350925094999
frame,timestamp_s,x,y,area
248,16.587,585,377,357329
249,16.654,574,304,359
250,16.721,684,324,872
251,16.788,665,330,1085
252,16.855,641,318,987
253,16.922,612,337,2131
254,16.989,602,366,1832
255,17.055,605,386,1800
256,17.122,630,422,769
257,17.189,622,427,1663
258,17.256,636,447,2063
259,17.323,643,455,2260
260,17.390,661,479,852
261,17.457,669,472,1085
262,17.524,679,460,1369
263,17.590,686,452,2587
264,17.657,702,452,3644
265,17.724,725,456,3815
266,17.791,753,462,3834
267,17.858,784,469,3681
268,17.925,796,472,5139
269,17.992,818,475,4393
270,18.059,823,464,2530
271,18.126,819,447,1858
272,18.192,815,427,2699
273,18.259,814,415,4436
274,18.326,823,393,5222
275,18.393,835,361,4930
276,18.460,837,329,4935
277,18.527,837,298,4985
278,18.594,837,268,4921
279,18.661,830,235,4685
280,18.728,819,212,4773
281,18.794,809,189,5018
282,18.861,796,166,4854
283,18.928,781,154,4881
284,18.995,777,156,4760
285,19.062,767,159,4570
286,19.129,752,160,4858
287,19.196,724,154,5036
288,19.263,690,155,4908
289,19.329,664,157,5000
290,19.396,640,157,5043
291,19.463,616,159,4846
292,19.530,589,163,5151
293,19.597,564,165,5097
294,19.664,538,164,5196
295,19.731,504,165,4933
296,19.798,473,172,5093
297,19.865,444,176,5203
298,19.931,420,177,5129
299,19.998,394,182,5101
300,20.065,375,193,5125
301,20.132,368,199,5050
302,20.199,368,202,5050
303,20.266,375,199,4723
304,20.333,384,197,4550
305,20.400,381,212,4999
306,20.467,374,234,5257
307,20.533,365,264,5444
308,20.600,360,303,5230
309,20.667,357,336,5137
310,20.734,349,370,5393
311,20.801,345,405,5304
312,20.868,346,435,5331
313,20.935,345,466,5643
314,21.002,347,496,5655
315,21.068,355,529,5985
316,21.135,366,553,5888
317,21.202,375,577,6463
318,21.269,382,598,7044
319,21.336,387,605,6960
320,21.403,391,605,6938
321,21.470,392,603,6787
322,21.537,394,601,6724
323,21.604,395,598,6669
324,21.670,396,600,6833
325,21.737,396,598,6737
326,21.804,394,587,5947
327,21.871,403,587,6135
328,21.938,430,595,6262
329,22.005,467,606,6236
330,22.072,513,616,5999
331,22.139,553,614,5518
332,22.205,589,617,5869
333,22.272,620,618,5805
334,22.339,655,614,5536
335,22.406,687,616,6000
336,22.473,715,618,6438
337,22.540,743,613,6230
338,22.607,775,611,6054
339,22.674,802,612,6215
340,22.741,826,612,6236
341,22.807,831,607,6156
342,22.874,829,601,6126
343,22.941,823,598,5820
344,23.008,817,594,5441
345,23.075,825,580,5670
346,23.142,836,558,5361
347,23.209,846,528,5130
348,23.276,853,492,5034
349,23.343,857,462,5378
350,23.409,860,447,5087
351,23.476,859,431,4975
352,23.543,857,419,5287
353,23.610,857,403,5300
354,23.677,859,392,5294
355,23.744,859,373,4388
356,23.811,855,350,5035
357,23.878,843,322,4342
358,23.944,840,299,4384
359,24.011,839,286,4393
360,24.078,841,289,4951
361,24.145,846,295,4996
362,24.212,850,301,4579
363,24.279,852,305,4229
364,24.346,853,309,3723
365,24.413,855,311,3383
366,24.480,857,311,2932
367,24.546,858,313,2555
368,24.613,859,314,2481
369,24.680,860,313,2370
370,24.747,859,313,2471
371,24.814,859,312,2349
372,24.881,860,312,2464
373,24.948,859,314,2377
374,25.015,859,315,2314
375,25.082,862,315,2107
376,25.148,861,316,2036
377,25.215,863,315,2046
378,25.282,864,314,1992
379,25.349,866,315,1737
380,25.416,865,315,1903
381,25.483,855,321,2642
382,25.550,850,329,3109
383,25.617,848,330,2906
384,25.683,847,319,3817
385,25.750,842,296,3992
386,25.817,833,258,3749
387,25.884,826,233,4602
388,25.951,808,198,4448
389,26.018,783,169,4527
390,26.085,760,141,4594
391,26.152,738,127,4680
392,26.219,713,129,4458
393,26.285,680,125,4771
394,26.352,640,125,4744
395,26.419,603,127,4755
396,26.486,573,129,4817
397,26.553,536,132,4848
398,26.620,502,137,4880
399,26.687,468,133,5086
400,26.754,434,134,5026
401,26.820,403,137,5039
402,26.887,377,135,5125
403,26.954,368,132,5129
404,27.021,365,132,5037
405,27.088,359,134,5099
406,27.155,352,137,4858
407,27.222,345,136,4704
408,27.289,336,136,4367
409,27.356,331,136,3976
410,27.422,327,138,3555
411,27.489,330,138,3781
412,27.556,336,137,4238
413,27.623,339,136,4902
414,27.690,344,141,4697
415,27.757,339,154,5239
416,27.824,334,183,5613
417,27.891,327,219,5888
418,27.958,321,252,5273
419,28.024,321,280,5000
420,28.091,319,300,4984
421,28.158,319,307,4535
422,28.225,319,303,4140
423,28.292,319,298,3838
424,28.359,319,294,3408
425,28.426,319,293,3013
426,28.493,316,293,2709
427,28.559,314,295,2341
428,28.626,312,294,2153
429,28.693,312,294,2161
430,28.760,312,292,2204
431,28.827,316,290,2477
432,28.894,320,283,2910
433,28.961,324,281,3383
434,29.028,325,285,3859
435,29.095,325,305,4469
436,29.161,328,332,5086
437,29.228,328,372,5889
438,29.295,335,415,6182
439,29.362,352,454,6201
440,29.429,369,482,6740
441,29.496,399,508,6602
442,29.563,434,524,6606
443,29.630,469,539,6842
444,29.697,510,548,6237
445,29.763,541,556,6708
446,29.830,573,564,6822
447,29.897,610,568,6299
448,29.964,634,573,6564
449,30.031,652,580,6811
450,30.098,662,585,6805
451,30.165,678,593,5993
452,30.232,702,599,6484
453,30.298,724,602,6587
454,30.365,735,596,6366
455,30.432,760,579,6712
456,30.499,787,556,5948
457,30.566,802,538,6403
458,30.633,825,516,6601
459,30.700,844,502,6353
460,30.767,852,490,5739
461,30.834,852,484,5349
462,30.900,855,482,5016
463,30.967,859,482,4427
464,31.034,865,481,3498
465,31.101,868,476,2600
466,31.168,869,477,2501
467,31.235,868,477,2457
468,31.302,870,479,2343
469,31.369,870,480,2411
470,31.435,870,482,2344
471,31.502,870,482,2384
472,31.569,870,481,2352
473,31.636,869,483,2529
474,31.703,869,484,2727
475,31.770,869,482,2554
476,31.837,870,480,2470
477,31.904,870,479,2376
478,31.971,870,479,2361
479,32.037,870,479,2349
480,32.104,870,480,2508
481,32.171,871,479,2357
482,32.238,870,480,2430
483,32.305,869,479,2483
484,32.372,870,478,2519
485,32.439,870,476,2364
486,32.506,870,476,2393
487,32.573,868,481,2845
488,32.639,861,488,3815
489,32.706,858,490,4862
490,32.773,857,485,5081
