# name: 김지민
# student_id: 20242705
# mouse_id: F4
# video: f4_oft.mp4
# cm_per_px: 0.0681350925094999
frame,timestamp_s,x,y,area
377,25.209,585,377,357329
378,25.275,843,218,1739
379,25.342,841,241,1070
380,25.409,813,209,3285
381,25.476,807,174,980
382,25.543,821,185,642
383,25.610,828,193,442
384,25.677,855,318,707
385,25.743,847,324,898
386,25.810,838,324,1540
387,25.877,835,332,2640
388,25.944,835,351,2644
389,26.011,833,391,1629
390,26.078,827,395,1966
391,26.145,831,438,1506
392,26.212,832,445,2385
393,26.278,830,464,2475
394,26.345,819,489,2476
395,26.412,813,503,2674
396,26.479,811,527,2865
397,26.546,816,536,4331
398,26.613,816,562,4350
399,26.680,812,581,4366
400,26.746,806,601,4092
401,26.813,803,621,2574
402,26.880,806,617,1926
403,26.947,809,619,907
404,27.014,818,612,1510
405,27.081,829,607,1813
406,27.148,839,602,1963
407,27.215,846,600,2652
408,27.281,853,602,3635
409,27.348,856,602,3994
410,27.415,857,599,3486
411,27.482,853,584,2021
412,27.549,853,573,1287
413,27.616,860,575,354
414,27.683,782,609,1987
415,27.749,767,611,3409
416,27.816,754,615,5358
417,27.883,739,623,6529
418,27.950,724,629,7562
419,28.017,702,631,7657
420,28.084,684,631,7955
421,28.151,656,636,7877
422,28.218,627,637,8030
423,28.284,602,634,7748
424,28.351,581,634,8089
425,28.418,555,634,7892
426,28.485,528,636,8001
427,28.552,507,631,7660
428,28.619,491,627,8507
429,28.686,468,622,8422
430,28.752,444,612,8305
431,28.819,427,596,7988
432,28.886,411,583,8476
433,28.953,394,570,8543
434,29.020,382,554,8292
435,29.087,374,532,8112
436,29.154,367,509,7959
437,29.221,359,485,7955
438,29.287,355,464,7828
439,29.354,355,438,7585
440,29.421,357,413,7474
441,29.488,359,389,7210
442,29.555,357,362,7255
443,29.622,356,342,7890
444,29.689,356,323,7782
445,29.755,354,305,7929
446,29.822,349,286,8115
447,29.889,343,263,7796
448,29.956,339,238,7818
449,30.023,339,215,7888
450,30.090,338,195,8293
451,30.157,336,182,8586
452,30.224,334,178,8761
453,30.290,335,199,7568
454,30.357,336,215,6489
455,30.424,332,211,6531
456,30.491,330,207,6779
457,30.558,327,210,6909
458,30.625,325,217,6831
459,30.692,322,223,6392
460,30.758,324,225,6507
461,30.825,324,225,6706
462,30.892,326,228,6798
463,30.959,320,229,4997
464,31.026,322,239,4996
465,31.093,329,249,5187
466,31.160,343,259,4469
467,31.226,347,261,4022
468,31.293,340,270,4705
469,31.360,335,281,4826
470,31.427,330,290,5232
471,31.494,323,309,6269
472,31.561,317,327,6749
473,31.628,315,349,7379
474,31.695,314,373,6735
475,31.761,313,397,5356
476,31.828,313,415,6032
477,31.895,314,440,7509
478,31.962,315,466,7682
479,32.029,316,500,7105
480,32.096,316,520,8033
481,32.163,317,524,8723
482,32.229,318,526,9069
483,32.296,320,538,9411
484,32.363,322,563,9172
485,32.430,323,582,9360
486,32.497,322,580,8951
487,32.564,321,559,7682
488,32.631,320,542,6346
489,32.698,319,537,5556
490,32.764,320,532,5355
491,32.831,319,533,4990
492,32.898,316,535,4317
493,32.965,314,540,3790
494,33.032,313,544,3509
495,33.099,313,546,3477
496,33.166,313,545,3514
497,33.232,314,543,3745
498,33.299,319,537,4652
499,33.366,325,522,5475
500,33.433,331,510,6026
501,33.500,339,505,6062
502,33.567,341,510,6737
503,33.634,339,527,7669
504,33.701,342,552,9034
505,33.767,350,579,8763
506,33.834,356,604,9185
507,33.901,364,619,8773
508,33.968,365,610,8220
509,34.035,373,599,8486
510,34.102,396,598,8960
511,34.169,420,604,9588
512,34.235,452,612,9608
513,34.302,482,617,9303
514,34.369,517,617,9178
515,34.436,550,616,8605
516,34.503,577,615,8332
517,34.570,605,615,8377
518,34.637,624,612,8563
519,34.704,634,608,7938
520,34.770,640,600,7720
521,34.837,664,579,7409
522,34.904,683,558,7282
523,34.971,694,542,7368
524,35.038,704,528,7865
525,35.105,716,505,7253
526,35.172,718,473,7398
527,35.238,721,447,7476
528,35.305,723,425,7188
529,35.372,721,403,7434
530,35.439,718,371,6513
531,35.506,721,349,7319
532,35.573,726,320,6520
533,35.640,725,304,7130
534,35.707,723,288,7253
535,35.773,723,279,6951
536,35.840,718,262,6471
537,35.907,706,243,6288
538,35.974,696,228,5944
539,36.041,678,210,5772
540,36.108,661,190,5801
541,36.175,641,177,6060
542,36.241,624,166,6103
543,36.308,603,156,6130
544,36.375,586,146,6278
545,36.442,574,135,7284
546,36.509,558,126,6960
547,36.576,542,123,7486
548,36.643,529,119,7262
549,36.710,517,115,7537
550,36.776,495,110,7416
551,36.843,468,108,7518
552,36.910,446,109,7101
553,36.977,428,109,7366
554,37.044,407,107,7440
555,37.111,387,107,7430
556,37.178,373,108,7519
557,37.244,376,109,6736
558,37.311,396,106,5653
559,37.378,415,106,4894
560,37.445,424,107,4832
561,37.512,430,116,5551
562,37.579,431,126,5879
563,37.646,426,136,6881
564,37.713,418,144,7032
565,37.779,410,152,6328
566,37.846,405,150,6189
567,37.913,408,146,6024
568,37.980,413,141,5309
569,38.047,416,135,4970
570,38.114,423,131,5113
571,38.181,429,136,5702
572,38.247,434,147,6397
573,38.314,444,174,6508
