# name: 진윤경
# student_id: 20242715
# mouse_id: f5
# video: f5_oft.mp4
# cm_per_px: 0.0681350925094999
frame,timestamp_s,x,y,area
168,11.233,585,377,357329
169,11.300,478,386,850
170,11.367,599,373,315532
171,11.434,585,377,355800
173,11.568,465,408,424
174,11.635,464,394,1090
175,11.702,467,378,1490
176,11.768,515,433,1100
177,11.835,536,428,1592
178,11.902,560,430,2252
179,11.969,586,434,2878
180,12.036,628,441,2296
181,12.103,657,440,1929
182,12.170,682,444,2065
183,12.236,706,447,2329
184,12.303,712,445,3723
185,12.370,755,442,2617
186,12.437,785,441,2274
187,12.504,806,442,2939
188,12.571,824,440,2918
189,12.638,860,432,1269
190,12.704,867,421,928
191,12.771,854,415,1594
192,12.838,857,410,1676
193,12.905,859,405,1935
194,12.972,870,394,1431
195,13.039,859,389,2075
196,13.106,848,381,2607
197,13.173,847,366,3486
198,13.239,849,348,4404
199,13.306,854,317,4207
200,13.373,853,284,4091
201,13.440,851,256,4173
202,13.507,851,227,4104
203,13.574,846,196,4013
204,13.641,841,172,3998
205,13.707,841,154,4199
206,13.774,839,147,4266
207,13.841,836,139,4120
208,13.908,827,134,3665
209,13.975,812,131,3818
210,14.042,787,121,3470
211,14.109,768,116,4350
212,14.176,739,110,4225
213,14.242,706,111,3837
214,14.309,676,115,3941
215,14.376,649,116,4110
216,14.443,622,118,4127
217,14.510,591,122,4013
218,14.577,566,126,4113
219,14.644,543,128,4289
220,14.710,516,130,4166
221,14.777,487,136,4111
222,14.844,463,141,4237
223,14.911,434,145,4320
224,14.978,402,150,4132
225,15.045,378,157,4141
226,15.112,366,159,4285
227,15.179,358,161,4210
228,15.245,352,169,3817
229,15.312,355,174,3733
230,15.379,351,185,4049
231,15.446,343,202,4221
232,15.513,335,227,4400
233,15.580,326,262,4130
234,15.647,324,292,4088
235,15.713,323,321,4189
236,15.780,326,355,4023
237,15.847,330,381,3993
238,15.914,331,406,4360
239,15.981,332,441,4229
240,16.048,336,474,4228
241,16.115,338,503,4468
242,16.182,338,533,4392
243,16.248,342,568,4233
244,16.315,345,595,4227
245,16.382,344,608,4167
246,16.449,342,613,4252
247,16.516,343,623,3826
248,16.583,347,633,3394
249,16.650,348,639,3138
250,16.716,346,645,2904
251,16.783,343,650,2630
252,16.850,339,655,2472
253,16.917,333,658,2518
254,16.984,327,660,2415
255,17.051,324,661,2314
256,17.118,320,666,1946
257,17.185,317,666,1879
258,17.251,316,664,1838
259,17.318,316,665,1843
260,17.385,314,664,1802
261,17.452,312,662,1788
262,17.519,311,663,1601
263,17.586,310,664,1485
264,17.653,308,664,1202
265,17.719,309,665,1153
266,17.786,309,664,1174
267,17.853,312,659,1312
268,17.920,318,647,1384
269,17.987,326,630,1709
270,18.054,332,631,2170
271,18.121,351,641,2815
272,18.187,383,651,2969
273,18.254,406,653,3973
274,18.321,440,652,3944
275,18.388,477,647,4051
276,18.455,514,644,4240
277,18.522,555,641,4014
278,18.589,592,635,4041
279,18.656,627,635,4246
280,18.722,666,633,3992
281,18.789,698,629,3978
282,18.856,731,630,4091
283,18.923,767,628,3931
284,18.990,796,626,3944
285,19.057,824,626,3811
286,19.124,835,626,3789
287,19.190,840,625,3754
288,19.257,845,626,3625
289,19.324,851,624,3368
