# name: 신정안
# student_id: 20242014
# mouse_id: M1
# video: m1_oft.mp4
# cm_per_px: 0.0681350925094999
frame,timestamp_s,x,y,area
151,10.095,585,377,357329
152,10.162,622,317,70244
153,10.229,773,191,4270
154,10.296,812,169,1347
155,10.363,812,179,1612
156,10.430,829,137,1006
157,10.496,826,124,784
158,10.563,831,112,800
159,10.630,849,102,851
160,10.697,847,131,1821
161,10.764,863,104,679
162,10.831,865,104,553
165,11.031,862,129,390
166,11.098,860,142,722
167,11.165,859,146,871
168,11.232,858,151,652
169,11.299,857,157,540
176,11.767,779,146,860
177,11.833,850,188,1139
178,11.900,848,196,1865
179,11.967,843,206,3160
180,12.034,841,220,3912
181,12.101,844,234,4388
182,12.168,847,250,3988
183,12.235,848,276,3225
184,12.301,847,294,3375
185,12.368,845,307,3771
186,12.435,848,319,3350
187,12.502,851,319,2290
188,12.569,850,311,1522
190,12.703,843,356,683
191,12.769,841,364,1265
192,12.836,841,367,2768
193,12.903,840,380,3416
194,12.970,842,393,4183
195,13.037,847,408,4625
196,13.104,851,426,5133
197,13.171,849,447,5522
198,13.237,847,468,5673
199,13.304,851,486,5799
200,13.371,854,507,5758
201,13.438,853,531,5728
202,13.505,851,550,5633
203,13.572,854,567,5514
204,13.639,859,575,5530
205,13.705,864,583,5644
206,13.772,866,586,5634
207,13.839,867,587,5436
208,13.906,869,589,4547
209,13.973,870,587,3611
210,14.040,871,581,3015
211,14.107,874,577,2266
212,14.173,878,572,1713
213,14.240,882,575,1407
214,14.307,884,577,1255
215,14.374,885,578,1140
216,14.441,887,581,840
217,14.508,889,581,684
218,14.575,891,582,509
219,14.641,887,591,503
220,14.708,860,605,476
221,14.775,851,603,616
222,14.842,849,601,469
223,14.909,849,605,510
224,14.976,850,617,1136
225,15.043,848,620,1781
226,15.109,848,616,1874
227,15.176,831,611,2068
228,15.243,811,607,3401
229,15.310,795,612,4830
230,15.377,779,619,5443
231,15.444,758,627,5118
232,15.511,741,627,5091
233,15.577,722,625,5109
234,15.644,706,627,5224
235,15.711,686,630,5378
236,15.778,668,633,5542
237,15.845,652,633,5212
238,15.912,643,629,5050
239,15.979,637,625,5015
240,16.045,628,620,5273
241,16.112,617,613,5385
242,16.179,607,609,5322
243,16.246,595,603,5209
244,16.313,581,591,5183
245,16.380,568,578,4900
246,16.447,562,575,4557
247,16.513,563,580,4402
248,16.580,558,582,4639
249,16.647,541,580,5044
250,16.714,517,575,5316
251,16.781,490,568,5157
252,16.848,471,560,5257
253,16.915,458,557,5123
254,16.981,453,559,4977
255,17.048,459,562,4634
256,17.115,465,565,4532
257,17.182,468,566,4466
258,17.249,467,566,4475
259,17.316,462,565,4539
260,17.383,454,567,4751
261,17.449,448,569,4775
262,17.516,438,571,4686
263,17.583,431,571,4853
264,17.650,427,570,5022
265,17.717,426,570,4862
266,17.784,430,569,4709
267,17.851,430,569,4732
268,17.917,423,566,5013
269,17.984,407,559,5050
270,18.051,391,557,5419
271,18.118,380,556,5685
272,18.185,375,556,5464
273,18.252,371,556,5282
274,18.318,375,557,4636
275,18.385,380,561,4244
276,18.452,377,571,4307
277,18.519,369,580,4976
278,18.586,365,587,5202
279,18.653,360,598,5465
280,18.720,352,610,5053
281,18.786,343,618,5123
282,18.853,342,620,5163
283,18.920,342,622,5271
284,18.987,339,624,5115
285,19.054,335,625,4731
286,19.121,332,626,4334
287,19.188,331,624,4132
288,19.254,334,620,3995
289,19.321,336,618,4121
290,19.388,336,617,4195
291,19.455,334,618,4459
292,19.522,333,623,4863
293,19.589,331,629,4995
294,19.656,327,634,4757
295,19.722,324,641,4359
296,19.789,324,644,4151
297,19.856,324,645,4174
298,19.923,326,641,4341
299,19.990,337,627,4468
300,20.057,352,613,4579
301,20.124,359,608,4317
302,20.190,361,601,4223
303,20.257,355,588,4632
304,20.324,345,566,4852
305,20.391,335,545,4980
306,20.458,327,531,5241
307,20.525,325,510,5353
308,20.592,327,488,5217
309,20.658,327,478,4924
310,20.725,326,478,4864
311,20.792,325,470,5048
312,20.859,326,444,5048
313,20.926,332,414,5184
314,20.993,337,387,5227
315,21.060,334,357,5351
316,21.126,334,326,5003
317,21.193,338,300,4964
318,21.260,337,277,4995
319,21.327,332,255,5113
320,21.394,333,228,5098
321,21.461,336,204,5133
322,21.528,336,186,5325
323,21.594,334,183,5308
324,21.661,332,186,5287
325,21.728,328,175,5484
326,21.795,326,161,5761
327,21.862,328,149,5696
328,21.929,325,140,5634
329,21.996,323,136,5488
330,22.062,322,135,5287
331,22.129,323,130,4925
332,22.196,324,128,4777
333,22.263,327,130,4709
334,22.330,331,129,4701
335,22.397,337,127,4624
336,22.464,341,125,4450
337,22.530,343,123,4400
338,22.597,343,127,4461
339,22.664,341,138,4795
340,22.731,339,159,4603
341,22.798,342,165,4811
342,22.865,350,156,5191
343,22.932,362,143,5432
344,22.998,385,134,5322
345,23.065,410,126,5365
346,23.132,437,118,5386
347,23.199,464,118,5424
348,23.266,488,118,5459
349,23.333,504,115,5115
350,23.400,504,113,4729
351,23.466,504,115,4854
352,23.533,516,119,5036
353,23.600,541,126,5048
354,23.667,568,139,5070
355,23.734,594,147,5081
356,23.801,622,153,4900
357,23.868,648,164,4911
358,23.934,673,172,4880
359,24.001,698,173,4831
360,24.068,722,175,4640
361,24.135,743,180,4396
362,24.202,768,182,4315
363,24.269,787,181,4156
364,24.336,786,180,3485
365,24.402,774,178,2749
366,24.469,778,176,2282
367,24.536,786,173,1463
368,24.603,836,113,2034
369,24.670,840,112,2827
370,24.737,844,110,2959
371,24.804,847,114,3146
372,24.870,852,113,2543
373,24.937,852,112,2473
374,25.004,854,110,2233
375,25.071,853,111,2109
376,25.138,848,115,2334
377,25.205,847,119,2246
378,25.271,850,122,2045
379,25.338,856,126,1652
380,25.405,859,131,1416
381,25.472,861,132,1305
382,25.539,861,132,1302
383,25.606,862,130,1344
384,25.673,858,125,1669
385,25.739,856,121,1851
386,25.806,855,119,1922
387,25.873,854,113,2224
388,25.940,854,112,2297
389,26.007,854,111,2234
390,26.074,856,111,2080
391,26.141,854,109,2153
392,26.207,852,107,2303
393,26.274,851,108,2385
394,26.341,852,107,2304
395,26.408,855,103,1883
396,26.475,845,104,2256
397,26.542,821,123,2193
398,26.609,788,137,1609
399,26.675,787,138,1601
400,26.742,787,139,1253
401,26.809,837,192,1737
402,26.876,835,209,3438
403,26.943,834,234,4876
404,27.010,838,272,4936
405,27.077,833,308,4877
406,27.143,828,340,4867
407,27.210,826,369,4766
408,27.277,819,402,4859
409,27.344,817,434,4760
410,27.411,820,462,4568
411,27.478,823,484,4244
412,27.545,830,495,3299
413,27.611,839,509,2014
414,27.678,861,613,1198
415,27.745,858,613,2287
416,27.812,859,617,2719
417,27.879,858,619,2872
418,27.946,853,624,2969
419,28.013,849,625,3037
420,28.079,846,627,3074
421,28.146,844,629,2979
422,28.213,843,630,2977
423,28.280,841,629,2839
424,28.347,838,626,3010
425,28.414,832,619,2873
426,28.481,820,623,3451
427,28.547,804,628,4655
428,28.614,781,631,5478
429,28.681,758,637,5030
430,28.748,729,633,5279
431,28.815,690,627,5314
432,28.882,650,625,4995
433,28.949,610,623,5162
434,29.015,577,624,5169
435,29.082,540,629,4905
436,29.149,507,629,5018
437,29.216,480,631,5345
438,29.283,447,636,5373
439,29.350,419,636,5091
440,29.417,395,634,4939
441,29.483,383,637,5119
442,29.550,375,644,5262
443,29.617,369,647,5323
444,29.684,367,647,5571
445,29.751,372,643,5004
446,29.818,380,640,4277
447,29.885,379,640,4240
448,29.951,377,638,4297
449,30.018,370,629,4735
450,30.085,363,619,4793
451,30.152,354,608,4450
452,30.219,351,605,4170
453,30.286,352,611,3973
454,30.353,352,616,3874
455,30.419,351,620,4511
456,30.486,347,614,3820
457,30.553,341,607,3957
458,30.620,333,594,3437
459,30.687,334,586,3914
460,30.754,337,570,3631
461,30.821,335,558,4357
462,30.887,330,542,4850
463,30.954,327,526,4949
464,31.021,330,513,5160
465,31.088,334,506,5052
466,31.155,334,495,5057
467,31.222,335,490,5099
468,31.289,336,484,5124
469,31.355,342,479,4985
470,31.422,339,469,5253
471,31.489,334,445,5306
472,31.556,332,412,5250
473,31.623,328,379,5216
474,31.690,332,346,5255
475,31.757,335,314,5043
476,31.823,332,285,5199
477,31.890,335,254,5109
478,31.957,337,227,5278
479,32.024,334,199,5244
480,32.091,332,175,5013
481,32.158,337,166,5108
482,32.225,339,152,5109
483,32.291,336,139,5060
484,32.358,333,133,5282
485,32.425,329,126,4953
486,32.492,327,119,4343
487,32.559,325,114,3906
488,32.626,325,111,3593
489,32.692,327,110,3457
490,32.759,328,110,3565
491,32.826,326,113,3866
492,32.893,325,112,3795
493,32.960,322,110,3416
494,33.027,322,110,3448
495,33.094,327,114,3804
496,33.160,334,127,4506
497,33.227,342,136,4792
498,33.294,350,142,4884
499,33.361,365,140,5324
500,33.428,391,134,5369
501,33.495,425,131,5303
502,33.562,459,127,5086
503,33.628,495,133,5021
504,33.695,526,147,5034
505,33.762,555,159,4950
506,33.829,581,175,5096
507,33.896,606,189,5143
508,33.963,631,199,5089
509,34.030,656,215,4999
510,34.096,673,234,4902
511,34.163,690,254,4926
512,34.230,704,282,5026
513,34.297,713,312,5196
514,34.364,727,339,5167
515,34.431,738,366,4965
516,34.498,741,393,4914
517,34.564,746,418,4806
518,34.631,754,434,4624
519,34.698,755,446,4596
520,34.765,757,454,4842
521,34.832,761,463,5105
522,34.899,765,466,5422
523,34.966,766,472,5521
524,35.032,765,483,5557
525,35.099,768,497,5643
526,35.166,775,516,5393
527,35.233,775,540,5203
528,35.300,775,565,5303
529,35.367,779,582,5323
530,35.434,780,596,5148
531,35.500,776,606,4988
532,35.567,776,613,4719
533,35.634,776,621,4270
534,35.701,775,628,3701
535,35.768,774,633,3343
536,35.835,773,633,3191
537,35.902,773,629,3428
538,35.968,773,620,3952
539,36.035,771,604,4159
540,36.102,763,599,4454
541,36.169,764,598,4323
542,36.236,763,598,4511
