# name: 오은석
# student_id: 20242709
# mouse_id: M2
# video: m2_oft.mp4
# cm_per_px: 0.0681350925094999
frame,timestamp_s,x,y,area
154,10.300,585,377,357329
155,10.367,530,333,4735
156,10.434,474,343,2118
157,10.500,548,323,1209
158,10.567,433,370,1335
159,10.634,414,383,1638
160,10.701,404,400,1639
161,10.768,386,415,1455
162,10.835,366,425,1187
163,10.902,364,415,2620
164,10.969,353,422,2786
165,11.036,330,442,804
169,11.303,386,445,772
170,11.370,391,452,1578
171,11.437,397,459,2848
172,11.504,400,472,3222
173,11.571,399,492,3320
174,11.637,394,504,4495
175,11.704,393,533,3911
176,11.771,402,551,4194
177,11.838,411,570,4119
178,11.905,421,589,4201
179,11.972,422,601,4970
180,12.039,429,614,4452
181,12.106,445,626,3242
182,12.173,453,627,2609
183,12.239,459,627,3078
184,12.306,463,626,2959
185,12.373,467,628,2580
186,12.440,470,630,2006
187,12.507,472,635,1285
188,12.574,451,585,302
189,12.641,427,652,588
190,12.708,412,652,1120
191,12.774,402,648,1450
192,12.841,393,638,2227
193,12.908,382,633,3041
194,12.975,374,633,3938
195,13.042,370,632,4220
196,13.109,368,631,3821
197,13.176,365,634,3574
198,13.243,366,630,3386
199,13.310,364,629,3407
200,13.376,367,619,2695
201,13.443,372,595,1548
202,13.510,375,580,955
203,13.577,376,564,360
205,13.711,452,654,607
206,13.778,471,652,1410
207,13.845,479,642,1913
208,13.911,483,648,1949
209,13.978,487,646,2053
210,14.045,486,642,2142
211,14.112,486,642,1709
212,14.179,485,642,1371
213,14.246,485,645,951
214,14.313,478,668,589
215,14.380,468,670,562
216,14.447,462,670,702
217,14.513,457,669,809
218,14.580,458,670,723
219,14.647,463,670,631
220,14.714,467,674,317
221,14.781,499,654,561
222,14.848,504,651,1063
223,14.915,512,645,2293
224,14.982,525,640,4117
225,15.048,537,638,5410
226,15.115,554,638,6558
227,15.182,577,637,6411
228,15.249,604,630,6312
229,15.316,623,620,6054
230,15.383,637,610,6200
231,15.450,653,597,6048
232,15.517,670,576,5863
233,15.584,682,556,5716
234,15.650,695,539,5829
235,15.717,709,522,5741
236,15.784,718,503,5484
237,15.851,723,482,5613
238,15.918,725,463,5293
239,15.985,726,451,5307
240,16.052,728,442,5309
241,16.119,729,432,5247
242,16.185,726,416,5234
243,16.252,722,398,5544
244,16.319,720,380,5420
245,16.386,721,361,5548
246,16.453,722,341,5602
247,16.520,722,322,5465
248,16.587,721,311,5748
249,16.654,722,313,5531
250,16.721,723,324,5180
251,16.787,726,335,4904
252,16.854,734,335,5114
253,16.921,747,326,5392
254,16.988,765,315,5411
255,17.055,785,306,5370
256,17.122,803,297,4966
257,17.189,812,287,5049
258,17.256,818,278,4957
259,17.322,823,276,4915
260,17.389,824,278,4909
261,17.456,829,278,4671
262,17.523,832,273,4575
263,17.590,834,268,4454
264,17.657,836,265,4266
265,17.724,839,264,3939
266,17.791,842,264,3641
267,17.858,843,265,3664
268,17.924,842,265,3668
269,17.991,838,267,3832
270,18.058,831,272,4388
271,18.125,819,282,4206
272,18.192,818,287,4304
273,18.259,824,294,4714
274,18.326,831,306,5058
275,18.393,837,321,5120
276,18.459,839,326,4933
277,18.526,838,326,4820
278,18.593,839,334,4777
279,18.660,838,352,5223
280,18.727,839,382,5382
281,18.794,844,416,5371
282,18.861,845,449,5116
283,18.928,841,476,5193
284,18.995,842,504,5285
285,19.061,846,530,5368
286,19.128,844,558,5007
287,19.195,841,579,4886
288,19.262,845,589,4798
289,19.329,849,593,5088
290,19.396,852,596,5157
291,19.463,854,597,5240
292,19.530,857,597,5367
293,19.596,860,599,5518
294,19.663,861,602,5287
295,19.730,863,604,5107
296,19.797,863,604,4957
297,19.864,859,592,5081
298,19.931,853,575,4870
299,19.998,848,577,5044
300,20.065,839,589,5591
301,20.132,821,606,5708
302,20.198,789,619,5421
303,20.265,756,625,5480
304,20.332,726,627,5314
305,20.399,694,622,5294
306,20.466,670,620,5193
307,20.533,645,618,5438
308,20.600,618,614,5273
309,20.667,587,604,5178
310,20.733,562,599,5198
311,20.800,535,597,5352
312,20.867,509,594,5061
313,20.934,490,587,4535
314,21.001,481,586,4013
315,21.068,474,586,3138
316,21.135,466,585,2091
317,21.202,367,583,1760
318,21.269,361,579,3031
319,21.335,362,578,3242
320,21.402,370,571,2505
321,21.469,378,550,2366
322,21.536,383,526,3157
323,21.603,383,512,4263
324,21.670,378,490,4651
325,21.737,373,459,4170
326,21.804,373,428,3965
327,21.870,369,397,4149
328,21.937,366,367,4310
329,22.004,369,341,4704
330,22.071,370,315,4757
331,22.138,367,291,5075
332,22.205,366,268,4898
333,22.272,369,252,5148
334,22.339,373,230,5171
335,22.405,373,205,5450
336,22.472,371,182,5399
337,22.539,372,166,5339
338,22.606,376,162,5572
339,22.673,378,164,5537
340,22.740,382,170,5342
341,22.807,389,170,5397
342,22.874,400,163,5671
343,22.941,414,151,5731
344,23.007,425,139,6061
345,23.074,433,131,5926
346,23.141,435,133,5674
347,23.208,431,138,5175
348,23.275,430,142,4989
349,23.342,432,143,5033
350,23.409,444,144,5264
351,23.476,471,146,5523
352,23.542,501,145,5549
353,23.609,530,143,5396
354,23.676,556,142,5389
355,23.743,584,143,5365
356,23.810,610,139,5471
357,23.877,632,135,5316
358,23.944,653,134,5432
359,24.011,672,134,5307
360,24.078,686,133,5445
361,24.144,699,132,5483
362,24.211,716,129,5424
363,24.278,737,131,5599
364,24.345,752,131,5511
365,24.412,763,130,5666
366,24.479,776,128,5660
367,24.546,775,128,5723
368,24.613,754,130,5421
369,24.679,734,130,4917
370,24.746,726,126,4862
371,24.813,723,120,4581
372,24.880,721,120,4429
373,24.947,718,118,4216
374,25.014,713,115,3921
375,25.081,706,115,3779
376,25.148,701,112,3702
377,25.215,695,109,3592
378,25.281,690,109,3704
379,25.348,684,109,4099
380,25.415,679,110,4380
381,25.482,678,113,4884
382,25.549,677,120,4846
383,25.616,664,121,4956
384,25.683,652,119,4945
385,25.750,640,116,5455
386,25.816,616,118,5508
387,25.883,581,124,5453
388,25.950,549,128,5633
389,26.017,518,128,5679
390,26.084,485,131,5587
391,26.151,457,132,5659
392,26.218,433,127,5857
393,26.285,417,123,5546
394,26.352,415,122,5451
395,26.418,425,121,5183
396,26.485,432,120,4815
397,26.552,436,120,4467
398,26.619,437,118,4085
399,26.686,435,114,3621
400,26.753,433,110,3227
401,26.820,433,108,3030
402,26.887,434,109,3076
403,26.953,436,112,3305
404,27.020,439,117,3859
405,27.087,441,123,4486
406,27.154,442,131,4530
407,27.221,436,131,4809
408,27.288,420,131,5334
409,27.355,393,132,5838
410,27.422,369,134,5571
411,27.489,359,137,5488
412,27.555,352,152,5517
413,27.622,348,179,5885
414,27.689,342,206,5889
415,27.756,337,231,5687
416,27.823,340,259,5774
417,27.890,344,289,5779
418,27.957,344,322,5899
419,28.024,345,354,5628
420,28.090,350,384,5563
421,28.157,350,410,5863
422,28.224,348,436,5772
423,28.291,351,464,5732
424,28.358,355,488,5697
425,28.425,354,514,6026
426,28.492,356,543,5973
427,28.559,367,575,5749
428,28.626,380,603,5442
429,28.692,388,621,5065
430,28.759,390,625,4425
431,28.826,388,625,4261
432,28.893,385,628,4230
433,28.960,384,633,4211
434,29.027,383,638,4211
435,29.094,384,641,4068
436,29.161,385,645,3770
437,29.227,385,645,3715
438,29.294,387,644,3997
439,29.361,394,643,4350
440,29.428,403,643,4541
441,29.495,408,642,4645
442,29.562,404,635,4340
443,29.629,406,632,4270
444,29.696,424,634,4456
445,29.763,461,638,4622
446,29.829,503,640,5140
447,29.896,534,639,5735
448,29.963,573,632,5561
449,30.030,609,629,5764
450,30.097,644,627,5406
451,30.164,677,621,5265
452,30.231,707,621,5478
453,30.298,738,624,5490
454,30.364,769,624,5278
455,30.431,795,627,5244
456,30.498,819,633,5164
457,30.565,823,633,5067
458,30.632,814,631,4845
459,30.699,805,632,4772
460,30.766,800,632,4314
461,30.833,800,633,3886
462,30.900,800,634,3683
463,30.966,796,633,3508
464,31.033,790,633,3429
465,31.100,786,632,3563
466,31.167,782,634,3335
467,31.234,777,635,2990
468,31.301,774,637,2882
469,31.368,772,637,2982
470,31.435,769,636,3182
471,31.501,770,631,3596
472,31.568,769,624,4558
473,31.635,764,622,5018
474,31.702,749,627,5442
475,31.769,724,630,5444
476,31.836,691,629,5706
477,31.903,651,623,5439
478,31.970,620,615,5138
479,32.037,596,610,5370
480,32.103,564,606,5622
481,32.170,527,601,5541
482,32.237,492,591,5151
483,32.304,461,573,4903
484,32.371,432,550,4792
485,32.438,404,520,4985
486,32.505,381,492,5459
487,32.572,359,463,5524
488,32.638,343,433,5136
489,32.705,340,421,5188
490,32.772,339,418,5322
491,32.839,337,418,5305
492,32.906,335,421,4942
493,32.973,338,427,4680
494,33.040,336,433,4418
495,33.107,331,434,3940
496,33.174,329,436,3754
497,33.240,328,438,3561
498,33.307,326,439,3586
499,33.374,326,442,3909
500,33.441,326,448,4241
501,33.508,326,458,4434
502,33.575,325,464,4512
503,33.642,323,467,4221
504,33.709,321,469,3974
505,33.775,320,469,3436
506,33.842,321,465,3231
507,33.909,323,458,3379
508,33.976,324,449,4008
509,34.043,329,445,4807
510,34.110,334,442,5059
511,34.177,334,427,5150
512,34.244,330,403,5455
513,34.311,327,370,5547
514,34.377,325,335,5501
515,34.444,326,296,5451
516,34.511,332,260,5387
517,34.578,332,228,5582
518,34.645,333,194,5356
519,34.712,341,167,5349
520,34.779,346,151,5404
521,34.846,345,148,5375
522,34.912,343,154,5251
523,34.979,346,159,5180
524,35.046,360,155,5511
525,35.113,387,145,5797
526,35.180,421,132,5564
527,35.247,457,124,5470
528,35.314,492,121,5446
529,35.381,522,115,5377
530,35.448,545,111,5490
531,35.514,554,113,5477
532,35.581,555,114,5035
533,35.648,551,113,4631
534,35.715,548,113,4476
535,35.782,548,112,4082
536,35.849,550,111,3632
537,35.916,549,109,3357
538,35.983,548,107,2964
539,36.049,546,103,2630
540,36.116,544,103,2613
541,36.183,542,103,2625
542,36.250,541,103,2641
543,36.317,541,104,2717
544,36.384,541,107,2947
545,36.451,543,111,3942
546,36.518,544,119,4460
547,36.584,551,123,4848
548,36.651,573,123,5397
549,36.718,606,123,5756
550,36.785,645,123,5731
551,36.852,687,128,5481
552,36.919,726,132,5479
553,36.986,763,132,5559
554,37.053,799,135,5304
555,37.120,814,141,4937
556,37.186,812,143,4946
557,37.253,806,149,4876
558,37.320,809,168,5267
559,37.387,818,191,5553
560,37.454,828,216,5332
561,37.521,830,248,5404
562,37.588,829,289,5535
563,37.655,835,331,5546
564,37.721,840,373,5454
565,37.788,843,406,5577
566,37.855,849,434,5622
567,37.922,849,464,5432
568,37.989,845,489,5351
569,38.056,843,512,5555
570,38.123,837,534,5517
571,38.190,819,556,5428
572,38.257,802,575,5545
573,38.323,785,596,5731
574,38.390,769,611,5326
575,38.457,756,615,4855
576,38.524,755,617,4610
577,38.591,758,618,4355
578,38.658,758,619,4217
579,38.725,759,623,3994
580,38.792,760,628,3647
581,38.858,759,633,3251
582,38.925,758,638,2830
583,38.992,755,642,2523
584,39.059,754,642,2447
585,39.126,754,638,2694
586,39.193,754,634,3364
587,39.260,754,630,4060
588,39.327,754,626,4415
589,39.394,744,626,4832
590,39.460,723,628,5289
591,39.527,692,633,5616
592,39.594,654,639,5733
593,39.661,608,639,5612
594,39.728,566,636,5587
595,39.795,527,636,5600
596,39.862,486,631,5382
597,39.929,450,631,5475
598,39.995,413,633,5259
599,40.062,378,631,5212
600,40.129,366,633,5259
601,40.196,368,633,5264
602,40.263,367,635,5547
603,40.330,363,639,5486
604,40.397,355,641,5304
605,40.464,344,647,4923
606,40.531,340,649,4713
607,40.597,337,650,4627
608,40.664,333,653,4289
609,40.731,334,655,4227
610,40.798,341,650,4566
611,40.865,356,646,4733
612,40.932,370,645,4294
613,40.999,378,645,4053
614,41.066,384,646,4020
615,41.132,390,646,3774
616,41.199,393,643,3832
617,41.266,392,642,4030
618,41.333,391,643,4111
619,41.400,392,643,3979
620,41.467,395,644,3654
621,41.534,399,647,3584
622,41.601,405,649,3737
623,41.668,410,649,3826
624,41.734,411,649,3745
625,41.801,409,648,3543
626,41.868,405,646,3638
627,41.935,398,636,4377
628,42.002,395,628,4755
629,42.069,399,629,4802
630,42.136,417,637,5134
631,42.203,444,641,5413
632,42.269,479,641,5884
633,42.336,524,636,5553
634,42.403,567,626,5549
635,42.470,606,613,5525
636,42.537,641,591,5098
637,42.604,666,569,5276
638,42.671,691,545,5245
639,42.738,712,514,5048
640,42.805,730,486,5213
641,42.871,745,458,4993
642,42.938,749,428,4946
643,43.005,749,398,5107
644,43.072,751,368,5076
645,43.139,749,338,5083
646,43.206,748,313,5191
647,43.273,752,299,5398
648,43.340,753,298,5179
649,43.406,751,310,4884
650,43.473,748,320,4620
651,43.540,741,319,4867
652,43.607,729,312,5141
653,43.674,710,301,5136
654,43.741,692,288,5383
655,43.808,679,275,5269
656,43.875,666,268,5350
657,43.942,648,254,5170
658,44.008,630,229,5234
659,44.075,612,201,5115
660,44.142,595,181,5356
661,44.209,581,156,5476
662,44.276,575,138,5031
663,44.343,574,133,4890
664,44.410,572,130,4837
665,44.477,573,128,4663
666,44.543,573,126,4544
667,44.610,573,127,4540
668,44.677,574,131,4651
669,44.744,579,145,4673
670,44.811,585,164,4662
671,44.878,581,164,4697
672,44.945,572,155,5024
673,45.012,551,141,5500
674,45.079,517,129,5442
675,45.145,483,122,5279
676,45.212,450,126,5582
677,45.279,413,128,5710
678,45.346,379,127,5504
679,45.413,360,131,5255
680,45.480,354,136,5195
681,45.547,350,138,5017
682,45.614,348,140,4886
683,45.680,345,145,5030
684,45.747,350,148,4822
685,45.814,354,154,4962
686,45.881,349,171,5484
687,45.948,342,203,5800
688,46.015,337,242,5859
689,46.082,336,283,5582
690,46.149,341,319,5436
691,46.216,340,351,5758
692,46.282,341,386,5380
693,46.349,346,416,5372
694,46.416,347,443,5587
695,46.483,348,475,5468
696,46.550,354,505,5566
697,46.617,357,536,5648
698,46.684,358,568,5781
699,46.751,362,596,5444
700,46.817,366,603,5357
701,46.884,364,592,4906
702,46.951,360,575,4748
703,47.018,355,567,5080
704,47.085,352,561,4902
705,47.152,354,555,4842
706,47.219,353,552,4748
707,47.286,350,551,4592
708,47.353,344,552,4332
709,47.419,339,554,4142
710,47.486,339,556,4010
711,47.553,341,555,3857
712,47.620,344,557,4255
713,47.687,347,561,4814
714,47.754,357,558,4696
715,47.821,360,558,4837
716,47.888,363,568,5113
717,47.954,374,588,5400
718,48.021,390,609,5336
719,48.088,412,624,5057
720,48.155,447,624,5274
721,48.222,489,621,5383
722,48.289,534,614,5214
723,48.356,577,602,5183
724,48.423,616,591,5276
725,48.490,651,575,5114
726,48.556,681,557,5125
727,48.623,708,542,5257
728,48.690,727,528,5190
729,48.757,745,511,5288
730,48.824,766,497,5406
731,48.891,785,486,5125
732,48.958,802,468,5136
733,49.025,817,453,4996
734,49.091,825,444,5011
735,49.158,834,420,4925
736,49.225,835,384,4965
737,49.292,839,350,5087
738,49.359,842,320,4900
739,49.426,834,295,5010
740,49.493,816,275,5153
741,49.560,793,253,5050
742,49.627,763,238,5095
743,49.693,732,223,5388
744,49.760,698,209,5065
745,49.827,665,199,5144
746,49.894,637,186,5358
747,49.961,607,172,5024
748,50.028,577,164,5229
749,50.095,548,154,5380
750,50.162,518,143,5113
751,50.228,490,139,5340
752,50.295,464,133,5623
753,50.362,444,125,5607
754,50.429,430,126,5650
755,50.496,411,126,5628
756,50.563,388,122,5750
757,50.630,368,119,5468
758,50.697,365,123,5437
759,50.763,371,124,5269
760,50.830,382,123,5075
761,50.897,391,121,4837
762,50.964,398,121,4562
763,51.031,400,118,4262
764,51.098,402,116,3886
765,51.165,401,113,3504
766,51.232,398,109,3111
767,51.299,396,105,2748
768,51.365,395,105,2703
769,51.432,396,105,2687
770,51.499,397,105,2723
771,51.566,396,105,2719
772,51.633,396,106,2749
773,51.700,397,107,2785
774,51.767,400,111,3186
775,51.834,396,114,4208
776,51.900,398,123,4639
777,51.967,394,127,4859
778,52.034,380,129,5143
779,52.101,364,132,5178
780,52.168,361,136,4863
781,52.235,359,148,5042
782,52.302,355,175,5392
783,52.369,350,213,5502
784,52.436,348,258,5180
785,52.502,354,298,5174
786,52.569,360,339,5203
787,52.636,373,380,5136
788,52.703,385,419,5193
789,52.770,398,455,5063
790,52.837,415,484,5093
791,52.904,428,513,5360
792,52.971,444,540,5147
793,53.037,464,565,5128
794,53.104,479,592,5211
795,53.171,490,612,4918
796,53.238,499,617,4743
797,53.305,497,620,4449
798,53.372,494,626,4244
799,53.439,494,626,4262
800,53.506,495,630,4235
801,53.573,496,635,3897
802,53.639,497,640,3533
803,53.706,497,644,3303
804,53.773,496,643,3459
805,53.840,493,641,3621
806,53.907,495,637,3728
807,53.974,502,635,4233
808,54.041,513,635,4701
809,54.108,518,627,4666
810,54.174,531,627,4896
811,54.241,556,631,5312
812,54.308,590,631,5240
813,54.375,625,633,5245
814,54.442,665,629,5163
815,54.509,702,625,5262
816,54.576,734,626,5294
817,54.643,768,622,5213
818,54.710,801,622,5278
819,54.776,831,626,5070
820,54.843,838,622,4950
821,54.910,835,616,4932
822,54.977,838,609,4886
823,55.044,845,603,4827
824,55.111,853,595,4953
825,55.178,858,587,4660
826,55.245,860,586,4276
827,55.311,863,584,3718
828,55.378,867,581,3080
829,55.445,870,578,2597
830,55.512,871,578,2469
831,55.579,870,579,2518
832,55.646,870,579,2540
833,55.713,870,580,2552
834,55.780,869,581,2609
835,55.847,870,580,3060
836,55.913,869,574,3976
837,55.980,866,569,4736
838,56.047,864,557,5211
839,56.114,862,534,5599
840,56.181,859,497,5683
841,56.248,854,452,5195
842,56.315,844,417,5091
843,56.382,838,393,5055
844,56.448,839,376,4992
845,56.515,841,373,4803
846,56.582,846,378,4761
847,56.649,852,381,4396
848,56.716,854,383,4092
849,56.783,855,383,3497
850,56.850,858,379,2687
851,56.917,863,376,2283
852,56.984,865,374,2109
853,57.050,864,372,2055
854,57.117,864,373,2094
855,57.184,863,373,2120
856,57.251,863,373,2147
857,57.318,863,374,2152
858,57.385,863,373,2124
859,57.452,862,374,2155
860,57.519,861,374,2239
861,57.585,859,376,2462
862,57.652,854,380,2928
863,57.719,847,384,3651
864,57.786,839,390,4567
865,57.853,837,393,4737
866,57.920,836,399,4735
867,57.987,838,415,4945
868,58.054,839,441,5230
869,58.121,842,475,5660
870,58.187,842,517,5474
871,58.254,837,559,5708
872,58.321,835,595,5242
873,58.388,829,606,4812
874,58.455,827,606,4716
875,58.522,828,602,4600
876,58.589,828,602,4648
877,58.656,827,603,4716
878,58.722,814,604,4959
879,58.789,788,609,5304
880,58.856,757,616,5544
881,58.923,722,623,5375
882,58.990,685,622,5198
883,59.057,649,624,5425
884,59.124,609,625,5246
885,59.191,572,624,5254
886,59.258,538,626,5471
887,59.324,501,623,5337
888,59.391,471,613,5232
889,59.458,444,602,5393
890,59.525,416,583,5173
891,59.592,392,559,5162
892,59.659,367,539,5338
893,59.726,349,519,5169
894,59.793,345,508,5111
895,59.859,343,506,5041
896,59.926,341,509,4618
897,59.993,340,510,4336
898,60.060,335,511,3971
899,60.127,330,512,3741
900,60.194,325,512,3345
901,60.261,321,510,3001
902,60.328,320,509,2921
903,60.395,321,508,2905
904,60.461,321,509,2944
905,60.528,322,508,3105
906,60.595,330,506,3871
907,60.662,344,509,4306
908,60.729,347,507,4715
909,60.796,343,498,5010
910,60.863,338,475,5217
911,60.930,336,439,5281
912,60.996,333,404,5295
913,61.063,336,369,5160
914,61.130,339,334,5216
915,61.197,338,302,5293
916,61.264,341,268,5050
917,61.331,343,242,5074
918,61.398,338,216,5222
919,61.465,336,187,5153
920,61.532,337,164,5052
921,61.598,334,155,5140
922,61.665,334,159,5006
923,61.732,336,163,4970
924,61.799,338,165,4979
925,61.866,342,166,4975
926,61.933,347,160,5177
927,62.000,359,148,5319
928,62.067,381,139,5320
929,62.133,402,131,5217
930,62.200,425,121,5277
931,62.267,454,116,5508
932,62.334,479,115,5394
933,62.401,499,113,5020
934,62.468,511,114,4952
935,62.535,520,114,5600
936,62.602,522,114,5691
937,62.669,520,114,5570
938,62.735,516,116,5525
939,62.802,513,116,5426
940,62.869,512,116,5422
941,62.936,514,115,5556
942,63.003,516,116,5582
943,63.070,527,118,5685
944,63.137,550,121,5905
945,63.204,579,121,5953
946,63.270,610,122,5641
947,63.337,637,130,5267
948,63.404,659,131,5189
949,63.471,681,131,5142
950,63.538,705,134,5089
951,63.605,728,140,5034
952,63.672,747,142,5075
953,63.739,763,150,5059
954,63.806,778,167,5324
955,63.872,796,185,5433
956,63.939,810,199,4992
957,64.006,813,215,5171
958,64.073,814,238,5438
959,64.140,815,263,5320
960,64.207,810,288,5067
961,64.274,801,312,5251
962,64.341,795,337,5301
963,64.407,788,357,5128
964,64.474,772,373,4914
965,64.541,757,383,4964
966,64.608,739,399,5152
967,64.675,719,414,5125
968,64.742,692,425,5214
969,64.809,666,438,5243
970,64.876,641,451,5172
971,64.943,613,460,5223
972,65.009,590,470,5224
973,65.076,569,479,5445
974,65.143,543,485,5347
975,65.210,521,482,5084
976,65.277,502,475,5302
977,65.344,485,467,5244
978,65.411,472,452,5224
979,65.478,459,435,5112
980,65.544,443,419,5488
981,65.611,435,402,5224
982,65.678,434,385,5341
983,65.745,428,362,5287
984,65.812,420,338,5460
985,65.879,416,311,5362
986,65.946,413,281,5266
987,66.013,405,258,5487
988,66.079,399,238,5544
989,66.146,398,227,5791
990,66.213,396,211,5711
991,66.280,392,192,5494
992,66.347,386,175,5349
993,66.414,386,174,5185
994,66.481,388,183,5038
995,66.548,389,191,4858
996,66.615,387,194,4806
997,66.681,382,193,4914
998,66.748,373,186,5188
999,66.815,363,175,5311
1000,66.882,360,169,5264
1001,66.949,361,165,5215
1002,67.016,360,158,5000
1003,67.083,358,153,4939
1004,67.150,358,152,4882
1005,67.216,361,153,4803
1006,67.283,363,155,4793
1007,67.350,365,154,4758
1008,67.417,366,153,4844
1009,67.484,367,152,4922
1010,67.551,368,151,4907
1011,67.618,365,149,5108
1012,67.685,360,145,5347
