# name: 임아름
# student_id: 20242712
# mouse_id: M4
# video: m4_oft.mp4
# cm_per_px: 0.0681350925094999
frame,timestamp_s,x,y,area
205,13.711,585,377,357329
206,13.778,390,196,1925
207,13.845,416,210,784
208,13.912,427,205,1355
209,13.979,406,236,4332
210,14.046,452,198,2726
211,14.113,467,194,1633
215,14.380,467,217,646
216,14.447,472,220,1232
217,14.514,482,223,1200
218,14.581,498,226,1165
219,14.648,496,236,1521
220,14.715,510,233,2277
221,14.782,526,228,2433
222,14.848,543,229,2810
223,14.915,554,234,2490
224,14.982,561,239,1434
225,15.049,527,249,570
227,15.183,561,254,522
228,15.250,555,265,1397
229,15.317,553,275,2863
230,15.384,554,285,4407
231,15.450,558,295,5009
232,15.517,565,308,5157
233,15.584,575,320,4822
234,15.651,584,329,4529
235,15.718,599,338,4462
236,15.785,626,354,3257
237,15.852,634,359,2817
238,15.919,634,354,1810
239,15.985,629,340,1362
240,16.052,634,324,1812
241,16.119,640,312,2546
242,16.186,648,305,3665
243,16.253,656,299,4778
244,16.320,670,295,5296
245,16.387,694,291,5089
246,16.454,715,282,5173
247,16.521,739,272,4965
248,16.587,760,269,5149
249,16.654,781,268,4984
250,16.721,794,265,5213
251,16.788,795,262,5313
252,16.855,786,263,4886
253,16.922,779,260,4288
254,16.989,779,250,4173
255,17.056,789,233,4215
256,17.123,798,211,4438
257,17.189,809,194,4790
258,17.256,818,179,4910
259,17.323,822,170,5238
260,17.390,823,165,5409
261,17.457,823,161,5632
262,17.524,822,156,5692
263,17.591,822,152,5625
264,17.658,824,148,5432
265,17.724,823,150,5356
266,17.791,816,160,4315
267,17.858,811,173,4208
268,17.925,801,157,1522
269,17.992,798,147,1628
270,18.059,792,140,1876
271,18.126,783,136,2335
272,18.193,775,132,3080
273,18.260,769,132,3451
274,18.326,766,131,3741
275,18.393,767,130,3753
276,18.460,773,135,3215
277,18.527,782,144,1672
278,18.594,787,151,813
279,18.661,796,144,723
280,18.728,814,135,888
281,18.795,834,128,1235
282,18.862,845,135,2043
283,18.928,851,136,2289
284,18.995,853,131,2593
285,19.062,850,123,3036
286,19.129,852,123,2784
287,19.196,853,121,2588
288,19.263,852,115,2718
289,19.330,851,112,2704
290,19.397,852,110,2467
291,19.463,851,108,2449
292,19.530,852,108,2276
293,19.597,855,119,2348
294,19.664,852,159,1218
295,19.731,849,168,1441
296,19.798,849,171,1346
297,19.865,852,173,1262
298,19.932,797,120,1424
299,19.999,783,124,2585
300,20.065,770,122,3978
301,20.132,755,116,4927
302,20.199,733,115,5248
303,20.266,712,115,5347
304,20.333,695,113,5434
305,20.400,669,110,5205
306,20.467,641,115,5140
307,20.534,622,119,5305
308,20.601,608,118,5261
309,20.667,595,114,5279
310,20.734,582,112,4996
311,20.801,579,114,5016
312,20.868,578,114,5199
313,20.935,574,112,5303
314,21.002,569,111,5476
315,21.069,569,111,5354
316,21.136,581,115,4804
317,21.202,576,118,4765
318,21.269,565,124,5021
319,21.336,545,130,5192
320,21.403,517,138,5170
321,21.470,493,149,5159
322,21.537,467,155,5395
323,21.604,439,158,5273
324,21.671,412,163,5138
325,21.738,391,165,4999
326,21.804,380,162,5364
327,21.871,376,160,5702
328,21.938,373,160,5746
329,22.005,369,161,5795
330,22.072,372,162,5544
331,22.139,378,166,5431
332,22.206,371,176,5742
333,22.273,363,192,5542
334,22.340,356,212,5599
335,22.406,348,234,5672
336,22.473,339,251,5166
337,22.540,339,256,4583
338,22.607,343,245,4219
339,22.674,344,241,4183
340,22.741,341,244,4562
341,22.808,336,250,4986
342,22.875,335,250,4643
343,22.941,333,245,4278
344,23.008,331,243,3907
345,23.075,327,243,3609
346,23.142,322,244,3372
347,23.209,318,245,3102
348,23.276,318,246,3083
349,23.343,325,242,3303
350,23.410,335,240,3554
351,23.477,343,241,4225
352,23.543,342,246,4641
353,23.610,342,255,4902
354,23.677,346,275,5250
355,23.744,352,300,5388
356,23.811,355,331,5565
