mouse_id,video,zone,total_time_s,visits,mean_dwell_s,max_dwell_s
F1,f1_oft.mp4,center,40.798,50,0.816,3.21
F1,f1_oft.mp4,margin,259.102,50,5.182,19.128
F2,f2_oft.mp4,center,49.294,68,0.725,1.806
F2,f2_oft.mp4,margin,250.615,68,3.686,21.069
F3,f3_oft.mp4,center,69.894,82,0.852,4.281
F3,f3_oft.mp4,margin,230.014,82,2.805,16.52
F4,f4_oft.mp4,center,48.879,44,1.111,3.878
F4,f4_oft.mp4,margin,251.016,43,5.838,26.88
F5,f5_oft.mp4,center,20.996,30,0.7,1.605
F5,f5_oft.mp4,margin,278.897,30,9.297,50.283
M1,m1_oft.mp4,center,26.876,27,0.995,8.156
M1,m1_oft.mp4,margin,273.039,27,10.113,34.698
M2,m2_oft.mp4,center,44.209,54,0.819,3.277
M2,m2_oft.mp4,margin,255.69,53,4.824,16.386
M3,m3_oft.mp4,center,58.123,41,1.418,10.501
M3,m3_oft.mp4,margin,241.788,40,6.045,30.433
M4,m4_oft.mp4,center,48.291,53,0.911,2.742
M4,m4_oft.mp4,margin,251.621,53,4.748,26.219
M5,m5_oft.mp4,center,41.001,53,0.774,2.876
M5,m5_oft.mp4,margin,258.912,53,4.885,28.761
